ZTF20aaghpdc 0.086000 Ia
58914.548044 2 19.6136 0.123576
58914.5470718 2 19.6467 0.133357
58913.4954977 2 19.6202 0.211703
58912.4940046 2 19.6025 0.147244
58911.5111343 2 19.5263 0.253622
58911.493831 2 19.3307 0.202491
58903.4552199 2 19.1189 0.111443
58903.4247685 2 19.0317 0.10859
58901.4127083 2 19.1519 0.116958
58899.5099306 2 19.019 0.116199
58899.4818519 2 18.9799 0.105867
58898.5301736 2 18.9458 0.115844
58898.515162 2 18.935 0.099528
58895.4897569 2 18.8025 0.105952
58895.4887847 2 18.8548 0.109726
58894.5336111 2 18.851 0.112672
58894.5326389 2 18.7668 0.0938101
58893.5463889 2 18.7854 0.110468
58893.5449769 2 18.7625 0.0877365
58892.5158681 2 18.7119 0.0921529
58892.5148958 2 18.7134 0.105712
58891.4821412 2 18.6451 0.0948283
58890.4900231 2 18.7272 0.193835
58890.4621875 2 18.5365 0.185381
58888.4964236 2 18.6042 0.163255
58887.4967477 2 18.5202 0.0904143
58886.5207639 2 18.45 0.0868853
58886.5197917 2 18.4887 0.0839887
58885.5178009 2 18.4844 0.0885673
58881.5527083 2 18.3903 0.0880278
58881.5517361 2 18.3113 0.0668365
58880.5383449 2 18.3507 0.0753968
58880.5373727 2 18.3136 0.0697135
58879.5374653 2 18.3534 0.139429
58878.5695718 2 18.4403 0.106314
58877.5172685 2 18.3872 0.071179
58877.5145255 2 18.3783 0.082613
58876.5559606 2 18.4608 0.0824356
58875.5466319 2 18.4597 0.103462
58873.5146991 2 18.522 0.0882176
58872.5676389 2 18.5487 0.0903023
58871.529838 2 18.6959 0.0825763
58866.5344329 2 19.1473 0.121979
58866.5334722 2 19.2549 0.117231
58864.5144097 2 19.6331 0.150842
