ZTF20aagloch 0.048300 Ia
58893.2200463 1 20.2496 0.283462
58886.2407639 1 19.6723 0.242821
58886.2398611 1 19.3118 0.209766
58885.3078356 1 19.5284 0.224659
58884.3013773 1 19.5315 0.185892
58883.4272685 1 19.3395 0.135859
58883.426794 1 19.3009 0.150253
58883.4253819 1 19.1036 0.180116
58881.2436227 1 18.8541 0.120533
58881.2231366 1 18.9847 0.151915
58880.4333565 1 18.8647 0.108739
58880.432419 1 18.8235 0.12222
58880.2659144 1 18.8954 0.114269
58879.2593634 1 18.6804 0.127762
58879.2160648 1 18.77 0.113554
58879.1918403 1 18.7735 0.117983
58878.2678009 1 18.6172 0.14946
58878.2415394 1 18.7316 0.158663
58877.3645255 1 18.5597 0.081464
58877.2438773 1 18.6086 0.103335
58877.241331 1 18.63 0.118069
58876.2428009 1 18.5495 0.0847439
58876.2428009 1 18.5714 0.088786
58876.241875 1 18.5388 0.0732981
58876.241875 1 18.5355 0.072921
58875.4261343 1 18.5679 0.104318
58875.3276389 1 18.6707 0.093696
58874.3688889 1 18.5198 0.069056
58874.3675116 1 18.5406 0.073247
58874.3429861 1 18.6539 0.096135
58873.3725926 1 18.5244 0.073784
58873.3446296 1 18.6859 0.0880449
58872.2429745 1 18.7369 0.0871746
58872.2381829 1 18.5843 0.0873056
58871.406956 1 18.6841 0.0914536
58871.4060532 1 18.7262 0.0811221
58871.2252894 1 18.8668 0.119771
58867.402963 1 19.7956 0.186093
58867.3961574 1 19.3267 0.108586
58866.4091435 1 20.0332 0.199133
