ZTF20aagloch 0.048300 Ia
58896.305625 2 19.4671 0.147782
58894.2362616 2 19.3267 0.127458
58892.2772685 2 19.2279 0.138233
58892.2763426 2 19.2541 0.155392
58891.3018403 2 19.0715 0.129663
58891.2870139 2 19.07 0.114809
58890.4090162 2 19.1671 0.14055
58890.4069329 2 18.9031 0.146784
58887.1528819 2 18.9183 0.164459
58886.3060995 2 18.7021 0.125794
58886.3007407 2 18.8115 0.113897
58886.2577431 2 18.7325 0.100211
58885.2410301 2 18.8075 0.140809
58885.2171412 2 18.5555 0.148441
58884.2421991 2 18.5762 0.135743
58884.2282176 2 18.4338 0.116301
58884.1802546 2 18.4136 0.264314
58883.2794676 2 18.6734 0.11095
58883.2421759 2 18.6628 0.122312
58883.237419 2 18.552 0.115588
58882.1850694 2 18.6736 0.105355
58881.3481713 2 18.5637 0.0782215
58881.3248727 2 18.6022 0.0873643
58880.325787 2 18.5445 0.109479
58880.324375 2 18.5229 0.094415
58880.320706 2 18.5356 0.086849
58879.3164583 2 18.4165 0.109389
58879.301412 2 18.5228 0.136573
58878.3306944 2 18.3684 0.0876088
58878.3068866 2 18.3545 0.0875849
58877.3177083 2 18.2658 0.099384
58877.315787 2 18.3762 0.064068
58877.3081713 2 18.413 0.074584
58876.327581 2 18.41 0.0696393
58876.3051968 2 18.4708 0.0796073
58875.2538773 2 18.5053 0.089066
58875.2431597 2 18.4567 0.070491
58874.3243171 2 18.3732 0.078844
58874.3232755 2 18.5474 0.080013
58874.2966551 2 18.5892 0.088416
58873.3006944 2 18.5669 0.077404
58873.2836921 2 18.5996 0.0799587
58871.3217824 2 18.7272 0.100377
58871.3208681 2 18.6411 0.0914559
58871.3044329 2 18.7239 0.0845837
58871.2919907 2 18.8003 0.0994534
58867.3640394 2 19.5428 0.151428
58855.347963 2 19.5265 0.294754
