ZTF20aahbamv 0.045200 II
58987.1724306 2 18.4652 0.0618247
58981.2176505 2 18.401 0.0652841
58977.2054745 2 18.4686 0.0923187
58974.2229514 2 18.3494 0.0715144
58972.1657639 2 18.3654 0.0729448
58971.1556713 2 18.3565 0.0616361
58967.1436806 2 18.4061 0.0720915
58962.1763773 2 18.4034 0.057154
58954.2038426 2 18.453 0.0695896
58944.1850463 2 18.4629 0.114532
58940.1993287 2 18.4465 0.159377
58912.2170602 2 18.2765 0.0654001
58909.3056597 2 18.2721 0.0620473
58906.2170139 2 18.1554 0.057114
58905.2083333 2 18.1843 0.062434
58903.1937731 2 18.11 0.0425886
58903.183044 2 18.1504 0.0520353
58900.194294 2 18.0049 0.0740829
58899.2608565 2 17.9999 0.042517
58899.2604051 2 18.0311 0.053229
58896.2593866 2 17.9121 0.043284
58896.2570833 2 17.8968 0.048169
58895.2704398 2 17.8996 0.0463141
58894.223125 2 17.8706 0.040182
58893.2653704 2 17.8321 0.0384326
58893.2644444 2 17.818 0.045408
58892.2592824 2 17.7734 0.0431611
58891.292037 2 17.7552 0.0569524
58891.2829861 2 17.7258 0.0484172
58890.199838 2 17.7378 0.0642197
58890.1963426 2 17.7496 0.0754737
58886.2549884 2 17.6362 0.0491548
58885.1929977 2 17.5994 0.0909796
58884.2449306 2 17.5881 0.0649388
58884.2043171 2 17.5556 0.0652328
58883.2570139 2 17.5984 0.0485072
58883.2551736 2 17.5854 0.0631455
58883.2043519 2 17.5554 0.228843
58882.1873148 2 17.5458 0.0411242
58881.3281713 2 17.5861 0.0384478
58880.3268056 2 17.5475 0.0410424
58880.3183681 2 17.5799 0.0380491
58879.3076157 2 17.6273 0.043763
58878.3092708 2 17.6426 0.0513542
58877.2798148 2 17.6541 0.039167
58877.2789005 2 17.6984 0.045818
58876.2886574 2 17.7555 0.0491771
58875.2833449 2 17.8362 0.041152
58874.273912 2 18.0096 0.0520536
58874.2729977 2 17.9996 0.0411059
58874.2669676 2 17.9929 0.0477781
58873.2697801 2 18.2318 0.052644
58873.2693287 2 18.227 0.044711
58872.2826505 2 18.4899 0.0536459
58871.2838657 2 19.0571 0.0857559
58871.2807407 2 19.0001 0.083721
58871.2662153 2 19.0639 0.103986
