ZTF20aahfobk 0.033000 Ia
58980.2861343 2 19.9969 0.190816
58974.2565162 2 20.1138 0.248189
58971.1988194 2 19.9431 0.165355
58968.3622685 2 19.7726 0.179523
58962.2842708 2 19.6176 0.140569
58954.2421875 2 19.3933 0.15379
58944.3875579 2 19.0219 0.166424
58939.3956713 2 18.7294 0.204177
58936.4078472 2 18.7453 0.0979419
58915.3687963 2 17.7701 0.0637833
58914.3641319 2 17.7291 0.0581896
58913.4537269 2 17.6366 0.0622506
58912.4314352 2 17.6427 0.0559422
58911.2396875 2 17.5823 0.0605151
58906.4663657 2 17.5105 0.047775
58905.2204398 2 17.4688 0.0560529
58904.2227431 2 17.514 0.053775
58903.3849769 2 17.5098 0.0419483
58901.3947569 2 17.4209 0.0445562
58900.2642824 2 17.3692 0.040571
58899.3465162 2 17.3452 0.041137
58898.3688194 2 17.2814 0.042988
58895.4521644 2 17.0216 0.042096
58894.5070139 2 16.9647 0.0318633
58893.3005787 2 16.8903 0.0404269
58893.2996759 2 16.9127 0.0351888
58892.3233912 2 16.8544 0.0336297
58891.3253241 2 16.828 0.0345528
58890.4297106 2 16.7917 0.0478924
58890.4027546 2 16.7992 0.0453311
58888.4288194 2 16.7518 0.0401419
58886.3046528 2 16.7906 0.0471073
58886.3031481 2 16.7953 0.0434507
58885.2368403 2 16.7304 0.0280428
58884.4856481 2 16.8192 0.0349933
58883.5301389 2 16.8437 0.0385925
58883.5291551 2 16.848 0.0524135
58881.3634838 2 17.01 0.0388255
58880.5119907 2 17.1007 0.0450004
58879.3700694 2 17.226 0.06167
58879.3680787 2 17.1828 0.050487
58878.3680903 2 17.3423 0.06377
58877.3225116 2 17.5926 0.057256
58876.3002315 2 17.8079 0.0537573
58876.2993287 2 17.7505 0.054033
58875.3067824 2 18.0758 0.079803
58874.2994792 2 18.3834 0.0592655
58873.2869907 2 18.8465 0.0905972
58873.2847106 2 18.7791 0.10756
58871.5138079 2 19.3305 0.141979
