ZTF20aahpwym 0.055000 Ia
58956.3464931 2 20.2399 0.203717
58955.4336111 2 20.4708 0.321489
58954.5071296 2 20.265 0.234049
58954.4645023 2 20.2792 0.238676
58944.5069907 2 19.9883 0.208081
58943.495 2 19.8701 0.16094
58941.4324769 2 19.7922 0.150884
58936.4453588 2 19.6369 0.126457
58914.5161111 2 18.7811 0.0887371
58911.4928241 2 18.662 0.105004
58906.5155556 2 18.5214 0.098287
58903.5177546 2 18.4449 0.0760024
58898.5355093 2 18.3368 0.063171
58893.543588 2 18.0339 0.0546157
58890.4853588 2 17.877 0.0793492
58887.5433796 2 17.7673 0.0670155
58884.5557176 2 17.7108 0.0457677
58881.5489352 2 17.7732 0.0505271
58878.5709606 2 17.8415 0.0650504
58875.5443056 2 18.0386 0.066945
58872.56625 2 18.2872 0.0959285
58864.5162153 2 20.3302 0.27492
