ZTF20aahqbib 0.055500 Ia
58936.457419 2 20.213 0.190061
58914.505787 2 19.5559 0.114168
58911.4782292 2 19.3191 0.142947
58908.5224769 2 19.0886 0.108288
58908.5224769 2 19.0886 0.108288
58908.4851736 2 19.1195 0.0910296
58908.4851736 2 19.1195 0.09103
58898.5190046 2 18.4948 0.054859
58894.5243403 2 18.3637 0.0819233
58887.5365741 2 17.9981 0.0734772
58884.5589583 2 17.9222 0.0584595
58883.5639583 2 17.9285 0.0735206
58881.5434491 2 17.9535 0.0452509
58878.5623032 2 18.1244 0.0570016
58875.5564352 2 18.4151 0.084011
