ZTF20aahqcup 0.100000 Ia
58914.5322338 2 20.5928 0.21362
58906.5164815 2 19.95 0.285107
58903.5201157 2 20.1662 0.17522
58903.5186921 2 19.7893 0.131785
58898.5364468 2 19.671 0.137213
58893.5280787 2 19.5408 0.120481
58887.5429282 2 19.166 0.119582
58886.5593634 2 19.2208 0.121471
58884.556169 2 19.0474 0.103039
58883.5585301 2 19.1477 0.125357
58881.5470833 2 19.0033 0.0915055
58879.5464815 2 18.7691 0.2075
58878.5559722 2 19.0311 0.127506
58876.5591782 2 19.0869 0.07418
58875.5438542 2 19.0649 0.108243
58873.5359722 2 19.222 0.11482
58872.5657986 2 19.2583 0.132965
58864.5175926 2 20.5607 0.302875
58864.5166667 2 20.4064 0.23125
