ZTF20aaiovoy 0.028000 II
58981.1730556 1 20.6158 0.294689
58965.2073727 1 19.876 0.180227
58962.2077315 1 20.0952 0.303976
58954.1816204 1 19.9103 0.210083
58940.1706366 1 19.5177 0.264524
58912.2460995 1 19.4876 0.207893
58909.2178472 1 19.4272 0.257707
58903.3024421 1 19.5114 0.189404
58903.2562963 1 19.508 0.190977
58898.2560764 1 19.4082 0.158384
58898.2459028 1 19.4967 0.159922
58894.2970139 1 19.3317 0.163703
58891.2286806 1 19.0206 0.147067
58883.400787 1 19.0535 0.164117
58880.236331 1 18.9777 0.143571
58877.2479861 1 19.0728 0.121008
58871.4020949 1 20.483 0.312841
