ZTF20aaiovoy 0.028000 II
58987.1855787 2 19.4489 0.151819
58981.214838 2 19.1597 0.133649
58978.2337847 2 19.2228 0.138345
58975.1641551 2 19.093 0.130384
58972.1627894 2 19.1004 0.121316
58962.1735648 2 18.9497 0.100457
58954.2066898 2 19.0261 0.104205
58940.1929167 2 18.9341 0.31219
58912.2147454 2 18.7988 0.106015
58909.3033102 2 18.9626 0.104565
58906.2142824 2 18.8762 0.100924
58905.205625 2 18.9236 0.114114
58903.2132176 2 18.8537 0.103657
58900.2454167 2 18.8534 0.0901653
58899.2708218 2 18.859 0.089142
58896.2898264 2 18.8542 0.091359
58894.2553241 2 18.8472 0.0994872
58892.2642593 2 18.8125 0.0871112
58891.2815741 2 18.8042 0.0932071
58886.2535995 2 18.9502 0.126649
58883.2473727 2 18.8385 0.151756
58880.3081597 2 19.0557 0.107848
58877.2999884 2 19.1928 0.133061
58874.3056829 2 19.4625 0.128704
