ZTF20aaiqiti 0.025000 Ic-BL
58914.3516204 2 19.9951 0.194923
58913.4480903 2 19.8353 0.210853
58912.4489583 2 19.8063 0.183629
58911.4440278 2 19.8017 0.214958
58908.4468981 2 19.6918 0.155409
58906.4505093 2 19.5643 0.142238
58904.4668634 2 19.4937 0.191488
58903.380706 2 19.4135 0.125513
58901.3861343 2 19.2021 0.0898091
58899.3395949 2 19.1166 0.097564
58898.3608681 2 18.9995 0.073073
58894.4720486 2 18.7598 0.0796201
58891.5061574 2 18.6181 0.0803652
58886.5349306 2 18.4812 0.079455
58883.5173958 2 18.5243 0.09536
58880.5161343 2 18.6648 0.0857798
58877.4860069 2 18.8688 0.095094
