ZTF20aairvsi 0.070000 Ia
58915.1437963 2 19.3916 0.181138
58912.1739583 2 19.2334 0.137451
58909.1145023 2 19.11 0.168671
58906.1687731 2 18.9816 0.1321
58903.1820833 2 19.0088 0.0877698
58903.1721181 2 18.9681 0.103211
58900.1860995 2 18.8515 0.120532
58898.1631713 2 18.7043 0.064761
58898.1384954 2 18.6937 0.063984
58894.2473032 2 18.4602 0.0740311
58892.2842477 2 18.3847 0.0732063
58884.1701389 2 18.4607 0.126299
58882.1442708 2 18.6959 0.106296
58881.2602662 2 18.7189 0.0812433
58880.2066204 2 18.9243 0.0892924
58878.1830556 2 19.2964 0.150403
58875.2189005 2 19.958 0.192261
58874.2455903 2 20.3662 0.278116
58873.1952894 2 20.8069 0.28727
