ZTF20aakbtyz 0.090000 Ia
58913.3076042 1 20.3343 0.264124
58912.2788773 1 20.0111 0.199941
58911.3893403 1 20.0728 0.22702
58909.2697917 1 19.8787 0.302145
58908.3279861 1 19.7237 0.126232
58906.2955903 1 19.4965 0.134499
58905.3046759 1 19.5321 0.135939
58904.3003241 1 19.4494 0.100673
58903.3428009 1 19.3198 0.096789
58903.3265394 1 19.3632 0.0969588
58900.3173958 1 19.0645 0.086935
58899.3869792 1 18.9881 0.089445
58898.3904051 1 18.989 0.071053
58894.3454051 1 18.7463 0.0793967
58891.4426273 1 18.7167 0.100357
58888.3033681 1 18.6161 0.136198
58884.4729282 1 18.7235 0.086836
58881.4747685 1 18.9568 0.0794601
58878.3871296 1 19.4604 0.130764
