ZTF20aakfofq 0.080000 Ia
58912.1705324 2 19.2777 0.137366
58909.1140509 2 19.2939 0.190999
58906.1907755 2 19.1 0.114337
58905.2006134 2 18.9443 0.124655
58903.1802315 2 18.9903 0.0906398
58903.1797801 2 19.0375 0.092457
58900.185162 2 18.7918 0.113758
58899.3095486 2 18.8036 0.077192
58898.1636227 2 18.7124 0.066516
58894.2427315 2 18.5718 0.0735536
58892.2860764 2 18.5591 0.0798868
58884.2033681 2 18.8726 0.141054
58882.1606829 2 19.1549 0.133667
58881.2683912 2 19.2613 0.0970046
58880.2084838 2 19.4593 0.104705
58879.2862963 2 19.6663 0.191906
