ZTF20aakyoez 0.041000 Ia
58968.3853241 2 20.3762 0.191159
58968.3612963 2 20.4606 0.230977
58965.300544 2 20.2286 0.170137
58965.2969097 2 20.2757 0.177076
58962.2898032 2 20.2783 0.257797
58962.2870486 2 20.175 0.182495
58954.4700463 2 19.7643 0.157699
58954.4523264 2 19.8319 0.219118
58941.4121296 2 19.6582 0.161867
58936.4234491 2 19.3417 0.103405
58936.4225231 2 19.3086 0.0875001
58915.4256366 2 18.428 0.206417
58915.3908681 2 18.3377 0.0899479
58914.4141435 2 18.3097 0.0698628
58914.3860069 2 18.2806 0.0700618
58913.4560532 2 18.2785 0.0713657
58913.4542245 2 18.3199 0.0757935
58912.477037 2 18.2306 0.0684348
58912.4565278 2 18.2911 0.0774271
58911.4725 2 18.3167 0.0648658
58911.4692593 2 18.2417 0.0754467
58908.4962847 2 18.158 0.061249
58908.4962847 2 18.158 0.061249
58908.4667593 2 18.1942 0.0540245
58908.4667593 2 18.1942 0.054025
58906.4891667 2 18.0565 0.090841
58906.4645255 2 18.0662 0.060397
58904.5159606 2 17.9198 0.058971
58903.4273495 2 17.8553 0.054302
58903.4059838 2 17.8843 0.0448963
58901.4271296 2 17.7433 0.0456322
58901.3915278 2 17.728 0.0483168
58900.4280787 2 17.6822 0.0571425
58900.42625 2 17.6952 0.061828
58899.4774074 2 17.6517 0.050461
58899.3483565 2 17.6374 0.039666
58898.510081 2 17.6583 0.04997
58898.3645833 2 17.6518 0.05633
58895.4553935 2 17.5934 0.0489674
58895.4531019 2 17.6272 0.0503663
58894.5065278 2 17.6199 0.0475422
58894.4781481 2 17.6358 0.0448611
58893.5360764 2 17.6689 0.057868
58893.5137731 2 17.6672 0.0542629
58893.3192014 2 17.6567 0.0468255
58893.3159375 2 17.6201 0.053263
58892.5078704 2 17.673 0.0685363
58892.3229051 2 17.6802 0.0493255
58891.4869444 2 17.7157 0.0760284
58890.4701157 2 17.6998 0.122066
58890.4668981 2 17.7942 0.092986
58890.4497454 2 17.721 0.0704922
58890.4474653 2 17.7662 0.0817931
58888.4686574 2 17.8953 0.0749529
58888.4672801 2 17.9347 0.0593155
58887.5102315 2 17.976 0.0574844
58887.5093287 2 18.0137 0.0664003
58887.4924769 2 18.0148 0.0598575
58887.4915741 2 17.9974 0.059908
58886.5501042 2 18.1338 0.0581814
58886.5302662 2 18.1808 0.0789568
58885.5348727 2 18.2956 0.0827555
58885.5339468 2 18.312 0.073228
58884.5520255 2 18.5587 0.0933059
58884.54875 2 18.613 0.0808101
58884.5060532 2 18.4605 0.099024
58884.5050926 2 18.5412 0.0848633
58883.5277083 2 18.7638 0.151218
58883.5267824 2 18.7805 0.0945745
58881.5614468 2 19.4394 0.1455
58881.5600694 2 19.4344 0.116765
58881.5325463 2 19.4418 0.1017
58881.3438542 2 19.5708 0.12924
58880.5313426 2 19.7156 0.135039
58880.5110648 2 19.9648 0.164575
58879.3705671 2 19.8558 0.204931
