ZTF20aalrqbu 0.093000 Ia
58985.3086227 1 20.1667 0.168765
58981.2977894 1 20.0083 0.223005
58980.4047685 1 20.0269 0.2946
58979.261875 1 19.9029 0.194909
58978.3834491 1 19.7589 0.324732
58975.3121991 1 19.5466 0.277816
58972.44875 1 19.7263 0.16085
58971.4215856 1 19.7324 0.144522
58970.4478704 1 19.6511 0.124868
58969.3856134 1 19.4411 0.235301
58968.4406481 1 19.5396 0.115621
58967.4249769 1 19.5292 0.135204
58966.4011458 1 19.4073 0.110876
58965.4046644 1 19.3995 0.115585
58963.4270949 1 19.3323 0.109277
58956.3747917 1 19.133 0.126811
58955.4160532 1 19.0709 0.10235
58954.395706 1 19.0563 0.126034
58936.4683681 1 18.3124 0.0760048
58914.4847222 1 18.0575 0.0785421
58911.5547338 1 18.0706 0.0800946
58911.5254514 1 18.1252 0.0822634
58906.5251968 1 18.0582 0.083918
58903.5274537 1 18.0343 0.0572972
58898.5611343 1 18.0246 0.060044
58893.4988194 1 18.046 0.0707304
58890.5468287 1 17.983 0.114303
58887.4633681 1 18.1213 0.0989143
58884.4672222 1 18.0235 0.0739912
58881.5198264 1 18.05 0.0607354
