ZTF20aalrqbu 0.093000 Ia
58981.2884954 2 20.3114 0.230627
58980.2759491 2 20.1621 0.156841
58979.3196296 2 19.769 0.240738
58978.2826736 2 20.1758 0.305115
58971.4159954 2 19.84 0.140825
58969.3727894 2 19.8279 0.385431
58968.3585995 2 19.6607 0.131644
58966.3585417 2 19.5714 0.328582
58965.3478472 2 19.6517 0.12172
58964.4072685 2 19.4447 0.116926
58962.3298495 2 19.3978 0.126821
58961.424213 2 19.3223 0.149418
58956.3497569 2 19.232 0.116243
58955.4229167 2 19.1132 0.112351
58954.4621991 2 19.1605 0.124531
58943.496875 2 18.7297 0.0921832
58939.4302431 2 18.5112 0.10098
58936.4435185 2 18.3813 0.086761
58914.5171296 2 18.1471 0.066595
58911.5164005 2 18.1605 0.0767876
58906.5174537 2 18.1176 0.084346
58903.5196528 2 18.0946 0.058894
58898.4960995 2 18.115 0.072194
58893.5271065 2 18.1291 0.09175
58890.4974653 2 18.1386 0.166077
58887.532419 2 18.2673 0.0704141
58884.5427778 2 18.1655 0.0680561
58881.5466204 2 18.4122 0.0611427
