ZTF20aamaqak 0.072600 Ia
58915.4064352 2 19.2913 0.206494
58914.3535648 2 19.2151 0.169401
58913.4302315 2 19.2018 0.136366
58912.4233449 2 19.2532 0.112729
58911.2364236 2 19.2244 0.193758
58906.4491319 2 18.8859 0.097764
58904.2442708 2 18.7881 0.081151
58901.3796875 2 18.5983 0.101424
58900.4003472 2 18.5848 0.112518
58899.3367824 2 18.4519 0.073997
58898.3409144 2 18.4096 0.0619
58894.4701736 2 18.4234 0.0656694
58891.4949306 2 18.5386 0.0713853
58886.510081 2 19.0655 0.140563
58883.5054167 2 19.7806 0.271324
