ZTF20aamdyal 0.110000 Ia
58914.4680093 1 19.3713 0.123084
58913.5178125 1 19.5024 0.13525
58912.5363773 1 19.3706 0.109042
58911.5290625 1 19.2657 0.139548
58908.5380556 1 19.0766 0.0878524
58906.5289815 1 19.0019 0.1299
58905.5320718 1 18.9104 0.128296
58904.5603704 1 18.6597 0.105634
58903.5349537 1 18.8023 0.091108
58900.5358102 1 18.8282 0.157645
58899.5366782 1 18.713 0.074281
58898.550544 1 18.7024 0.064846
58895.5277894 1 18.6833 0.0961301
58894.5496181 1 18.6521 0.062464
58893.4885648 1 18.6547 0.0818702
58892.3846875 1 18.8171 0.119496
58891.4682755 1 18.8117 0.116755
58890.5547106 1 19.2156 0.263878
58887.456412 1 19.4856 0.217687
58886.4894097 1 19.4164 0.158421
58885.471794 1 19.8017 0.336486
58884.4245139 1 19.7545 0.235939
