ZTF20aamfpcj 0.088500 Ia
58912.2451852 1 19.1834 0.146558
58909.2354167 1 19.1308 0.202398
58906.2912269 1 18.7763 0.121007
58903.3010995 1 18.694 0.0716434
58903.2738657 1 18.7204 0.08259
58898.2565278 1 18.5587 0.075399
58898.2454514 1 18.5623 0.068471
58896.2499074 1 18.5476 0.0838244
58895.2109838 1 18.5718 0.0917472
58894.3123727 1 18.6451 0.0863397
58894.2983912 1 18.6056 0.0888216
58893.2325579 1 18.6598 0.0887476
58891.2282176 1 18.7726 0.099885
58891.2140046 1 18.7011 0.116325
58890.2740394 1 18.8776 0.156409
58886.2503472 1 19.3871 0.218077
58885.2918634 1 19.3607 0.262443
58885.2909606 1 19.5519 0.303202
58883.4212731 1 19.9252 0.265474
58883.4203704 1 19.9533 0.25138
58881.2454977 1 20.2103 0.308553
