ZTF20aammnnm 0.110000 Ia
58912.1524653 1 19.5191 0.155332
58909.2494792 1 19.1883 0.167689
58909.2270602 1 19.1771 0.172482
58906.2785532 1 19.0607 0.092729
58906.2780787 1 19.0962 0.096324
58903.2690394 1 18.8641 0.0803973
58903.2670602 1 18.9503 0.099351
58900.3039583 1 18.8453 0.0947796
58900.3026042 1 18.8226 0.0935617
58899.2016551 1 18.8301 0.075913
58898.2671644 1 18.7822 0.083901
58898.2283681 1 18.8347 0.087068
58898.2278935 1 18.7902 0.076731
58896.2202662 1 18.815 0.0855768
58896.2193287 1 18.8326 0.0728217
58895.2223032 1 18.8084 0.0849933
58894.1951968 1 18.8229 0.0979412
58893.2163426 1 18.8561 0.0924996
58893.2154398 1 18.9004 0.107937
58892.170081 1 18.9281 0.101448
58891.1720255 1 19.0257 0.090133
58890.3099653 1 19.0597 0.12115
58890.2666782 1 19.0944 0.153273
58890.261169 1 19.2784 0.241481
58888.2643866 1 19.209 0.25582
58886.2360417 1 19.5209 0.217592
