ZTF20aammnnm 0.110000 Ia
58909.333125 2 19.1765 0.166594
58906.2270602 2 18.9864 0.100414
58906.2184375 2 18.9557 0.113294
58903.2062847 2 18.9081 0.0703107
58903.2058218 2 19.0022 0.0907507
58903.1835185 2 18.9566 0.0856073
58900.1938426 2 18.9335 0.227073
58899.3114236 2 18.8628 0.078553
58899.3109491 2 18.9238 0.097006
58899.2598958 2 18.8384 0.087333
58898.3031481 2 18.9396 0.081465
58896.2823843 2 18.8559 0.0948103
58896.2786574 2 18.9733 0.0896799
58895.2870949 2 18.8571 0.0770904
58894.2208218 2 18.887 0.10757
58893.2856597 2 19.0345 0.0978985
58893.2847569 2 19.0106 0.0856769
58892.2786574 2 19.0594 0.127363
58892.2574653 2 19.012 0.130213
58891.288831 2 19.1831 0.143719
