ZTF20aamsjws 0.030230 Ia
58939.2940625 1 20.2689 0.278959
58936.2526505 1 20.0088 0.190268
58915.2342708 1 18.3658 0.103786
58913.2760185 1 18.2434 0.0782188
58912.2548727 1 18.2153 0.0827235
58911.3823264 1 18.1052 0.0760442
58909.2545486 1 17.9805 0.092199
58906.2898495 1 17.8608 0.05691
58905.2733449 1 17.8621 0.0675477
58904.2747917 1 17.875 0.056746
58903.2965625 1 17.8715 0.079728
58900.3319213 1 17.8743 0.062322
58899.3817824 1 17.9274 0.053805
58898.2887963 1 17.9409 0.070541
58894.310544 1 18.3483 0.0640024
58891.4231481 1 18.8628 0.168425
