ZTF20aamsjws 0.030230 Ia
58965.1714468 2 19.7317 0.127314
58962.168044 2 19.5 0.129883
58954.2340741 2 19.3547 0.095981
58939.2235185 2 18.7266 0.101134
58939.2039815 2 18.7137 0.0904483
58915.371713 2 17.9936 0.0722697
58913.2125231 2 17.8474 0.0592555
58912.4153125 2 17.7527 0.0479224
58909.316169 2 17.5816 0.0402801
58906.2319329 2 17.4486 0.047671
58905.2331944 2 17.4586 0.0537191
58904.2337963 2 17.4381 0.038657
58903.3951968 2 17.4699 0.0408254
58901.3744676 2 17.4789 0.0422215
58900.2563773 2 17.5077 0.041265
58899.3179167 2 17.5695 0.03333
58899.2986574 2 17.6147 0.042513
58898.3372222 2 17.6501 0.055413
58894.2890278 2 17.9943 0.0437488
58891.294537 2 18.5382 0.110157
