ZTF20aandwrl 0.098150 Ia
58913.2769444 1 19.5849 0.180318
58913.2760185 1 19.4842 0.165663
58912.2553241 1 19.5874 0.155989
58912.2548727 1 19.4139 0.13634
58911.3827778 1 19.4223 0.144651
58911.3823264 1 19.4355 0.166789
58909.2778472 1 19.3074 0.173187
58909.2545486 1 19.4405 0.229717
58906.2898495 1 19.1619 0.101195
58906.2880093 1 19.0943 0.114809
58905.2733449 1 19.0076 0.118212
58904.2892014 1 18.987 0.116953
58904.2747917 1 19.1077 0.102419
58904.257338 1 19.0382 0.113396
58903.2965625 1 19.0343 0.105928
58903.275706 1 19.0037 0.0903639
58900.3319213 1 18.9344 0.086311
58900.330544 1 18.9891 0.0862419
58899.3817824 1 18.9545 0.08116
58899.381331 1 18.9849 0.089754
58898.2887963 1 19.1163 0.104641
58898.2766435 1 18.9999 0.096284
58894.3184028 1 19.33 0.132025
58894.310544 1 19.4171 0.119118
58891.4231481 1 19.6954 0.326813
58891.2333912 1 19.7615 0.254717
