ZTF20aaowuim 0.026700 Ia
58986.2327083 2 18.9852 0.170944
58974.2304861 2 18.7611 0.124019
58968.2078704 2 18.3982 0.0628381
58962.1675926 2 18.4582 0.0836964
58954.2327199 2 18.0339 0.0581277
58939.2230556 2 17.1764 0.0627096
58915.3730787 2 16.4066 0.0371259
58913.2328819 2 16.384 0.037695
58912.4166667 2 16.3566 0.0324322
58911.2134722 2 16.4317 0.0360679
58909.3171065 2 16.4846 0.0369179
58906.2494676 2 16.7373 0.033711
58905.2327546 2 16.8033 0.0551938
58904.2333449 2 17.0354 0.053485
58900.4008333 2 18.1148 0.0741057
58899.3183681 2 18.6472 0.080919
58898.3557986 2 19.0099 0.09918
