ZTF20aaoxbju 0.063810 II
58968.2008333 2 20.1094 0.210301
58955.2811921 2 19.8499 0.191333
58936.4128819 2 19.7992 0.164561
58914.3778704 2 19.5207 0.138518
58913.4453356 2 19.4144 0.186919
58912.4466898 2 19.5178 0.131536
58911.4463657 2 19.4189 0.149552
58908.4496528 2 19.4803 0.12562
58908.4496528 2 19.4803 0.12562
58906.4459259 2 19.471 0.197774
58904.4705556 2 19.5191 0.186113
58901.4189005 2 19.5174 0.194197
58900.4375231 2 19.6584 0.174264
58899.4410069 2 19.6159 0.141309
58898.3738773 2 19.795 0.152534
