ZTF20aapycrh 0.015000 II
58985.1746759 1 19.4996 0.170579
58980.1957292 1 19.3979 0.108937
58977.1652431 1 19.1178 0.183586
58974.1749884 1 19.1839 0.138358
58971.2617361 1 19.2716 0.134493
58968.2661227 1 19.2279 0.138575
58968.2362384 1 19.2444 0.108068
58965.2394907 1 19.2704 0.115185
58962.2254398 1 19.2603 0.106876
58954.2832639 1 19.2248 0.136947
58939.3240509 1 19.0435 0.116145
58936.2660069 1 19.1235 0.114802
58915.2388889 1 18.7808 0.14487
58914.2446412 1 18.6856 0.165294
58913.3071296 1 18.5758 0.077556
58912.2571528 1 18.5959 0.10576
58911.3860764 1 18.6117 0.100879
58909.2885301 1 18.676 0.155256
58906.2951157 1 18.4953 0.089265
58905.288125 1 18.5421 0.0916935
58904.2775579 1 18.5846 0.080679
58903.3251852 1 18.5739 0.074105
58903.3178356 1 18.6129 0.085112
58900.3263657 1 19.2156 0.120614
