ZTF20aaqshoz 0.044170 Ia
58985.2895023 2 19.7279 0.107863
58979.2984954 2 19.4188 0.151513
58976.3143056 2 19.386 0.298544
58973.3332407 2 19.3361 0.121966
58970.3598727 2 19.2972 0.0901455
58967.3529282 2 19.2431 0.0973276
58964.2857176 2 19.071 0.0929201
58961.4022685 2 18.975 0.135639
58955.4210185 2 18.5982 0.068261
58954.4416551 2 18.5398 0.100747
58943.4643866 2 18.0815 0.0802256
58939.4029514 2 17.9854 0.127543
58936.4569676 2 17.9801 0.0517771
58914.5062384 2 17.4298 0.0371782
58911.4986458 2 17.6443 0.075901
58906.5210995 2 18.4878 0.112803
58903.4590741 2 19.6892 0.158955
