ZTF20aaqtebg 0.035500 Ia
58963.3318171 1 19.8437 0.147695
58943.4226736 1 19.3185 0.12511
58941.4780671 1 19.3564 0.17508
58941.4437269 1 19.3025 0.122273
58940.3791667 1 19.0721 0.140894
58939.4545602 1 18.8232 0.243381
58937.3874769 1 18.8976 0.0781321
58936.4665278 1 18.7299 0.0935902
58936.4660648 1 18.7104 0.0982018
58917.3961921 1 17.0619 0.171298
58917.3957292 1 17.2245 0.190654
58914.4796065 1 17.0434 0.0529246
58911.430787 1 17.2315 0.0507199
58911.4298495 1 17.2185 0.0349303
58908.5301736 1 17.7428 0.0786806
58908.5301736 1 17.7428 0.078681
58906.5413542 1 18.0484 0.090302
58904.4226042 1 18.7613 0.121315
