ZTF20aaqvzko 0.040000 Ia
58987.2402894 1 20.1924 0.167595
58981.3118171 1 20.2422 0.27869
58981.2056481 1 20.0184 0.223852
58978.2040162 1 19.7992 0.266426
58972.2369097 1 20.0295 0.267864
58969.2388542 1 20.0877 0.230429
58966.2610301 1 19.9779 0.310202
58963.2626389 1 19.9157 0.14656
58963.2621875 1 19.8483 0.16923
58963.2185764 1 20.0645 0.15532
58963.218125 1 19.903 0.164568
58956.2389815 1 19.7182 0.101399
58955.3096181 1 19.7236 0.199883
58944.4514468 1 19.0978 0.133579
58944.4246875 1 18.939 0.185797
58940.3460301 1 18.2781 0.202199
58914.2225 1 17.1552 0.041365
58914.2220486 1 17.1849 0.046397
58911.3652662 1 17.3741 0.0518304
58905.1619676 1 18.9552 0.163091
58904.303206 1 19.2871 0.114684
