ZTF20aarbktd 0.031290 II
58987.3314699 2 19.2618 0.109107
58984.4020602 2 19.0907 0.100292
58980.3143519 2 18.8409 0.120746
58977.398669 2 18.8532 0.201132
58973.3539815 2 18.8488 0.130116
58970.4143056 2 18.6759 0.106315
58964.4227315 2 18.6756 0.0950779
58961.457963 2 18.5478 0.0911943
58956.4854514 2 18.3152 0.132769
58953.4565162 2 18.643 0.11222
58943.4814583 2 18.5718 0.0913727
58936.5070023 2 18.4677 0.0996221
58914.5359838 2 18.1575 0.0771357
58911.5037963 2 17.9633 0.0793928
58908.5138657 2 17.9605 0.070877
58904.5242245 2 18.0724 0.08828
