ZTF20aarblcr 0.041060 II
58975.395 2 19.8836 0.183923
58967.3930208 2 19.7334 0.14953
58965.4408449 2 20.0165 0.183297
58964.4335648 2 19.9831 0.166333
58962.477581 2 19.7513 0.159758
58961.4457176 2 19.7062 0.204314
58956.3479051 2 19.6926 0.161606
58955.4350116 2 19.79 0.173065
58954.503044 2 19.6975 0.156654
58954.4940625 2 19.6316 0.139453
58953.4468403 2 19.7421 0.191296
58944.5074653 2 19.394 0.143328
58943.4936111 2 19.3363 0.125982
58940.5146991 2 19.2529 0.259197
58914.5327083 2 18.072 0.0512493
58911.5097454 2 18.2491 0.0808863
58908.511088 2 18.3763 0.0774185
58904.5270023 2 18.9827 0.093549
