ZTF20aascwar 0.048000 Ia
58972.44875 1 20.4285 0.253465
58971.4215856 1 20.5431 0.226364
58970.4478704 1 20.2979 0.199714
58968.4406481 1 20.4704 0.211614
58967.4249769 1 20.3624 0.17876
58966.4011458 1 20.5472 0.206803
58965.4046644 1 20.3364 0.193739
58963.4270949 1 20.4352 0.201365
58956.3747917 1 20.0888 0.176657
58955.4160532 1 20.0129 0.201653
58954.395706 1 20.0068 0.165587
58943.4442014 1 19.3162 0.156714
58936.4808333 1 18.6201 0.0914345
58936.4683681 1 18.5263 0.0745582
58914.4851736 1 18.5661 0.0914094
58914.4847222 1 18.5707 0.111853
58911.5547338 1 19.6909 0.198743
58911.5254514 1 19.4588 0.161498
