ZTF20aattotq 0.014397 Ia
58980.2236458 1 19.2057 0.115044
58979.2919792 1 19.0131 0.139978
58979.2463657 1 19.1085 0.161697
58978.1949537 1 19.2387 0.134002
58973.2693171 1 18.9339 0.123577
58970.2753819 1 18.9076 0.119052
58969.3841782 1 18.6951 0.222325
58967.2753819 1 18.8705 0.110795
58966.4155093 1 18.7197 0.0849102
58965.2580208 1 18.6561 0.0910243
58963.3318171 1 18.6148 0.0858458
58963.2944097 1 18.6051 0.0864416
58962.3367361 1 18.6009 0.0969155
58955.4001042 1 18.0284 0.0614714
58943.4226736 1 16.5852 0.0434829
58941.4780671 1 16.5301 0.0361808
58939.4550231 1 16.5223 0.0618216
58936.4660648 1 16.6507 0.0428757
