ZTF20aattotq 0.014397 Ia
58985.2909028 2 18.4164 0.117582
58980.274537 2 18.1749 0.0736092
58978.2561574 2 18.0924 0.098471
58975.3825579 2 17.9634 0.0749559
58974.3145255 2 18.0501 0.0617843
58973.3147801 2 17.9147 0.0751881
58972.3800231 2 17.9374 0.0701226
58971.3622454 2 17.7739 0.0830889
58970.3921991 2 17.8453 0.0541543
58969.3392361 2 17.6701 0.141529
58968.3806019 2 17.7122 0.0602762
58966.340463 2 17.4371 0.106953
58965.3237616 2 17.5027 0.0580923
58964.2852662 2 17.5169 0.057867
58962.3072338 2 17.3169 0.047617
58961.4068634 2 17.2582 0.0542747
58956.3094097 2 16.7891 0.0504299
58955.4224074 2 16.766 0.0504871
58954.4564815 2 16.6971 0.0373866
58943.4653009 2 16.129 0.0416146
58941.4024074 2 16.0699 0.0345973
58940.4424306 2 16.1834 0.172201
58939.4151042 2 16.1838 0.0814101
58936.4365509 2 16.2852 0.0522771
