ZTF20aauvmix 0.100000 Ia
58985.3090856 1 20.1861 0.152475
58981.2973264 1 19.8353 0.149832
58980.4052315 1 19.6335 0.159972
58979.2435301 1 19.5524 0.139682
58975.2728241 1 19.3435 0.201993
58975.2528472 1 19.1859 0.169054
58974.4517824 1 19.2201 0.184167
58972.2759144 1 19.1074 0.111971
58971.4220486 1 19.0202 0.0950699
58970.2969213 1 19.0531 0.0861387
58969.386088 1 18.9484 0.152248
58968.3121991 1 18.9138 0.0726959
58967.2767593 1 18.9226 0.0820741
58966.4025231 1 18.9114 0.0733587
58965.4051273 1 18.9243 0.0778026
58964.3745833 1 18.9004 0.0760639
58963.3045486 1 18.8722 0.0791029
58955.4010648 1 19.4094 0.099453
