ZTF20aauwuui 0.125000 Ia
58980.2075579 1 20.0801 0.179566
58973.4580093 1 19.8053 0.207044
58973.4575347 1 19.9622 0.239727
58972.4548843 1 19.9268 0.177412
58972.2773148 1 19.6768 0.196706
58971.3094792 1 19.8227 0.221677
58970.3069907 1 19.5801 0.141623
58970.2997338 1 19.8435 0.193505
58968.4556829 1 19.654 0.15953
58967.2869907 1 19.508 0.175467
58967.2790509 1 19.6784 0.144607
58966.4048611 1 19.5893 0.138496
58966.4043981 1 19.3672 0.109498
58965.4102778 1 19.4954 0.125744
58965.4093519 1 19.3814 0.112452
58964.3666782 1 19.6203 0.118245
58964.3533102 1 19.3808 0.125464
58963.4336111 1 19.5783 0.167813
58963.3902199 1 19.5097 0.147042
58963.3633449 1 19.3856 0.121689
58963.2967014 1 19.4187 0.144134
58962.3635069 1 19.4265 0.17585
58962.3607292 1 19.3579 0.162486
58956.382963 1 19.6194 0.154772
58956.3673727 1 19.2963 0.216007
58955.4111458 1 19.5631 0.182012
58955.4061458 1 19.2772 0.123805
58954.3951505 1 19.7103 0.189474
58954.3933333 1 19.3595 0.154441
