ZTF20aavnnzx 0.060000 Ia
58987.4139468 1 19.9593 0.121838
58986.3915972 1 19.7271 0.0946758
58985.4262616 1 19.6256 0.0990563
58981.3020139 1 19.1699 0.117607
58980.4161227 1 19.1298 0.113877
58979.2646759 1 19.0434 0.103066
58978.3998958 1 18.87 0.130577
58977.3662963 1 18.6943 0.186964
58976.4711343 1 18.7985 0.120387
58975.2671644 1 18.7526 0.101957
58973.467037 1 18.7052 0.0678875
58972.4658449 1 18.7064 0.0590749
58971.4272222 1 18.7563 0.0648985
58970.4511921 1 18.7613 0.0642703
58968.4439236 1 18.8888 0.074239
58967.4272801 1 19.0241 0.075023
58966.4277083 1 19.166 0.0702102
58965.4167361 1 19.2856 0.0750722
58964.3876157 1 19.6121 0.102975
58963.5054514 1 19.8506 0.229716
58963.4586343 1 19.8935 0.127925
58963.3844213 1 19.8986 0.112746
58962.5034144 1 20.1179 0.225343
58962.4979745 1 20.1435 0.160308
58956.386713 1 20.9986 0.326261
