ZTF20aavnnzx 0.060000 Ia
58987.3441551 2 19.0828 0.104906
58986.3056481 2 19.0316 0.0832993
58985.3875463 2 19.0327 0.0944401
58981.4054745 2 18.7405 0.0747606
58980.3157523 2 18.7312 0.0918462
58979.3474306 2 18.7042 0.0970708
58978.3101736 2 18.7468 0.104023
58977.4156829 2 18.6442 0.0998103
58976.3427546 2 18.6678 0.126033
58975.395 2 18.6742 0.084365
58974.3436458 2 18.6006 0.0804145
58973.3395833 2 18.6303 0.0799332
58972.4097454 2 18.6947 0.0814421
58971.4111458 2 18.6872 0.0880491
58970.4056134 2 18.7362 0.0831979
58969.3685648 2 18.7245 0.135515
58968.4271296 2 18.9491 0.0803606
58967.3930208 2 19.0576 0.0917792
58966.3875926 2 19.2724 0.084231
58965.4408449 2 19.2955 0.0988845
58964.4335648 2 19.6235 0.116
58962.477581 2 20.1512 0.158349
58961.4457176 2 20.1652 0.212284
