ZTF20aavrkxw 0.110000 Ia
58985.2804167 2 19.5017 0.144226
58980.2875694 2 19.2299 0.11753
58976.3008681 2 19.1166 0.171929
58976.2638773 2 19.1633 0.135084
58974.2603241 2 19.1317 0.110424
58973.3023843 2 19.1011 0.124932
58973.2914236 2 18.9047 0.108531
58973.2895602 2 19.1483 0.114215
58971.2272222 2 19.0912 0.110977
58970.3693519 2 19.1319 0.102495
58968.3853241 2 19.2291 0.0789004
58967.3710648 2 19.349 0.124979
58965.300544 2 19.5452 0.122238
58964.2815972 2 19.6406 0.148068
58962.2870486 2 19.8304 0.192171
