ZTF20aavrloz 0.043320 Ia
58985.2785532 2 18.1867 0.0855911
58981.2550694 2 17.861 0.0644334
58980.3333912 2 17.7668 0.0552856
58980.3305903 2 17.8129 0.0575364
58980.2806481 2 17.7895 0.047176
58978.279838 2 17.6857 0.0569133
58977.2540509 2 17.7491 0.0696803
58976.3099769 2 17.5917 0.0763663
58976.2970602 2 17.6342 0.0495367
58976.2753472 2 17.6434 0.0594317
58976.2592014 2 17.6356 0.0623874
58975.3888542 2 17.6429 0.055554
58974.3291435 2 17.591 0.0615711
58974.2905208 2 17.6172 0.0658705
58973.3261574 2 17.6611 0.0593556
58973.2995718 2 17.6719 0.0606764
58973.2811343 2 17.6538 0.0610807
58973.2773958 2 17.6712 0.0544204
58972.3833681 2 17.7195 0.0598417
58971.3855671 2 17.7228 0.0564407
58970.3898495 2 17.8326 0.0479154
58970.3893866 2 17.7711 0.0585569
58968.3872106 2 17.9933 0.0566032
58967.3729051 2 18.2132 0.0674701
58967.3487616 2 18.1705 0.0669063
58966.3482755 2 18.2943 0.0808482
58965.3426736 2 18.6035 0.101998
58964.410081 2 18.8473 0.0935337
58964.2825 2 18.9093 0.0871786
58962.3011806 2 20.1853 0.259655
58961.4270023 2 20.1197 0.295358
58961.4133102 2 20.0117 0.267069
