ZTF20aavzlxm 0.073600 Ia
58985.3020139 1 18.3554 0.0662978
58981.3083912 1 18.1723 0.0474828
58980.4090046 1 18.1911 0.0722148
58979.2547454 1 18.1037 0.0701004
58978.3848611 1 18.0296 0.074842
58977.3587731 1 18.0977 0.0814402
58976.4753588 1 18.0531 0.0691581
58975.2537847 1 18.0576 0.0553274
58974.4684954 1 18.1332 0.0576703
58973.4575347 1 18.1379 0.0633452
58972.4548843 1 18.2022 0.0539225
58971.4351968 1 18.2724 0.0676378
58970.2997338 1 18.3752 0.0597099
58968.4556829 1 18.5826 0.0827356
58967.2790509 1 18.7636 0.0854588
58966.4048611 1 18.9758 0.0792316
58965.4102778 1 19.2489 0.0840056
58964.3666782 1 19.5724 0.11897
58963.4336111 1 19.8165 0.137856
58963.3902199 1 19.9711 0.129038
58962.3635069 1 20.2852 0.256189
