ZTF20aawgrcu 0.042000 II
58987.3668403 2 18.7617 0.0772932
58987.3658102 2 18.7815 0.0802087
58986.4891088 2 18.7275 0.0900334
58986.4738657 2 18.8082 0.073804
58985.4684722 2 18.716 0.0823987
58985.4045255 2 18.7833 0.0612775
58983.386794 2 18.8822 0.111346
58983.3858102 2 18.7877 0.080606
58981.4548727 2 18.8421 0.10801
58981.4539005 2 18.879 0.100543
58980.4721528 2 18.7733 0.10279
58980.4707292 2 18.7903 0.085509
58979.4645486 2 18.7663 0.0842876
58979.3321991 2 18.7295 0.0767192
58978.47125 2 18.9314 0.153917
58977.4696875 2 18.7662 0.179561
58977.4673148 2 18.715 0.107846
58976.3663773 2 18.8112 0.145927
58976.3518519 2 18.7721 0.122908
58975.4490394 2 18.7798 0.0773813
58975.4125116 2 18.8901 0.132911
58974.3518287 2 18.8847 0.123211
58973.3477662 2 18.8145 0.10225
58972.415544 2 18.6993 0.0920004
58972.4145602 2 18.6865 0.090492
58970.4076042 2 18.6484 0.0728548
58970.3783102 2 18.7259 0.0855644
58968.4232755 2 18.6981 0.0731257
58968.4209028 2 18.6426 0.0692334
58967.4065972 2 18.7093 0.0833511
58967.3896991 2 18.7171 0.0737602
58966.4682639 2 18.813 0.0960722
58966.4659606 2 18.8874 0.077204
58965.4514699 2 19.3199 0.105458
58965.4500463 2 19.1532 0.0922458
58964.4457523 2 19.8275 0.166717
58964.4297917 2 19.7184 0.14034
